posterior,7
analytics,1
by,161
aristotle,1
,576
translated,1
g.,4
r.,1
mure,1
book,3
i,57
part,71
1,2
all,165
instruction,1
given,15
or,295
received,1
way,17
of,1411
argument,15
proceeds,10
from,159
pre,3
existent,6
knowledge.,17
this,204
becomes,7
evident,8
upon,4
a,886
survey,1
the,2280
species,36
such,87
instruction.,1
mathematical,11
sciences,15
and,841
other,131
speculative,1
disciplines,1
are,378
acquired,4
in,659
"way,",7
so,120
two,81
forms,8
dialectical,8
"reasoning,",1
syllogistic,5
inductive;,1
for,242
each,42
these,96
latter,20
make,10
use,9
old,1
knowledge,114
to,707
impart,1
"new,",1
syllogism,44
assuming,8
an,182
audience,1
that,594
accepts,3
its,129
"premisses,",23
induction,11
exhibiting,2
universal,83
as,351
implicit,1
clearly,30
known,29
particular.,2
"again,",21
persuasion,1
exerted,1
rhetorical,1
arguments,4
is,1249
principle,1
"same,",5
since,122
they,124
either,69
"example,",18
kind,23
"induction,",3
"enthymeme,",1
form,33
syllogism.,6
required,10
kinds.,2
some,80
cases,19
admission,2
fact,74
must,161
be,559
"assumed,",4
others,14
comprehension,1
meaning,20
term,85
"used,",1
sometimes,6
both,78
assumptions,4
essential.,3
"thus,",24
we,344
assume,15
every,58
predicate,37
can,106
truly,10
affirmed,9
denied,11
any,65
"subject,",18
'triangle',1
means,18
so;,1
regards,11
'unit',1
have,148
double,1
assumption,11
word,2
existence,20
thing.,7
reason,37
several,13
objects,13
not,449
equally,13
obvious,9
us.,1
recognition,5
truth,19
may,97
contain,4
factors,1
previous,6
also,86
simultaneously,7
with,106
"knowledge,",15
"latter,",2
particulars,5
actually,33
falling,2
under,9
therein,2
already,8
virtually,1
known.,1
student,2
knew,2
beforehand,1
angles,34
triangle,35
equal,29
right,42
angles;,1
but,255
it,447
was,39
only,85
at,60
actual,8
moment,3
which,321
he,80
being,74
led,2
on,85
recognize,3
true,73
instance,25
before,10
him,3
came,3
know,76
'this,10
figure,34
inscribed,1
semicircle',1
triangle.,1
things,26
(viz.,2
singulars,2
finally,2
reached,6
predicable,43
anything,18
else,18
subject),1
learnt,2
i.e.,50
there,121
here,15
no,120
through,83
middle,113
minor,14
subject,104
major.,3
drew,1
"conclusion,",10
should,34
perhaps,4
say,21
manner,8
"knew,",1
not.,7
if,298
did,5
unqualified,17
sense,59
"triangle,",8
how,18
could,11
without,48
qualification,10
were,23
angles?,2
no:,2
knows,23
universally.,6
distinction,6
"drawn,",2
faced,3
dilemma,1
meno:,1
man,53
will,177
learn,6
nothing,17
what,112
knows;,1
cannot,83
accept,2
solution,3
people,4
offer.,1
"asked,",2
'do,1
"you,",2
do,36
you,19
"not,",8
pair,5
even?',1
says,1
does,80
it.,18
questioner,1
then,102
produces,3
particular,24
"pair,",1
"existence,",5
fortiori,3
"evenness,",2
unaware.,1
offer,3
assert,4
"even,",4
everything,10
even:,1
yet,43
even,44
demonstrated,22
made,10
their,67
"premiss,",14
viz.,10
merely,12
number,30
"such,",10
reservation.,1
premiss,42
ever,3
couched,1
'every,3
"such',",1
rectilinear,3
such':,1
always,36
construed,1
applicable,4
"hand,",24
imagine,2
prevent,2
one,211
knowing,15
"learning,",2
another,40
strange,4
thing,52
would,54
"be,",6
precise,1
learning,1
2,2
suppose,17
ourselves,5
possess,34
scientific,45
"thing,",7
opposed,5
accidental,12
sophist,1
"knows,",3
when,100
think,7
cause,91
"depends,",1
"other,",5
"and,",7
"further,",10
than,92
is.,7
now,46
something,28
sort,3
witness,1
those,27
who,23
falsely,3
claim,2
"it,",18
former,11
themselves,6
while,28
"actually,",1
condition,11
described.,1
consequently,19
proper,5
object,16
well,16
discussed,2
later.,2
events,10
demonstration.,27
demonstration,127
mean,28
productive,2
"syllogism,",7
"is,",41
grasp,9
eo,2
ipso,2
my,5
thesis,2
nature,77
"correct,",1
premisses,116
"true,",19
"primary,",6
"immediate,",6
better,31
prior,46
further,31
related,25
them,51
effect,26
cause.,8
unless,13
conditions,4
"satisfied,",1
basic,65
truths,48
'appropriate',11
conclusion.,7
indeed,5
"conditions,",1
true:,2
non,19
"know,",4
e.g.,63
diagonal,3
square,4
commensurate,25
side.,1
primary,41
indemonstrable;,3
otherwise,14
require,5
order,14
"known,",8
"demonstrable,",4
precisely,8
them.,9
causes,18
it;,8
"causes,",5
cause;,2
"prior,",3
causes;,2
antecedently,1
antecedent,5
our,59
mere,8
understanding,1
"meaning,",3
well.,4
'prior',1
'better,1
known',1
ambiguous,1
"terms,",9
difference,8
between,27
man.,6
nearer,3
man;,1
sense.,2
most,8
furthest,1
nearest,2
"sense,",5
thus,42
exactly,1
another.,9
saying,2
"truths,",7
identify,1
truth.,4
'basic,1
truth',1
immediate,36
proposition.,1
proposition,12
has,95
"enunciation,",2
predicates,20
single,45
attribute,93
subject.,9
"dialectical,",2
assumes,10
indifferently;,1
"demonstrative,",1
lays,3
down,9
definite,4
exclusion,2
because,88
true.,10
'enunciation',1
denotes,1
contradiction,4
indifferently.,2
opposition,2
own,10
excludes,1
middle.,5
conjoins,1
affirmation;,1
disjoining,1
negation.,2
call,17
'thesis',2
"when,",3
though,42
susceptible,1
proof,50
"teacher,",1
ignorance,2
constitute,8
total,3
bar,1
progress,1
pupil:,1
pupil,4
whatever,5
axiom.,1
axiom,1
give,11
name,8
axioms,9
par,1
excellence.,1
asserts,3
hypothesis;,1
"assert,",1
definition.,4
definition,68
'laying,1
"down',",1
arithmetician,2
unit,5
quantitatively,1
indivisible;,1
"hypothesis,",2
define,7
same,88
affirm,10
existence.,3
ground,5
conviction,4
possession,10
"demonstration,",28
facts,9
constituting,7
"beforehand,",1
conclusion:,2
attribute's,4
inherence,26
itself,18
inheres,26
more,55
firmly,1
attribute;,1
loving,1
dearer,1
us,37
love.,1
follows,28
convinced,1
"consequences,",1
premisses.,13
believe,4
paradox,1
whose,12
belief,3
rests,4
knowledge;,5
"some,",1
"all,",10
"moreover,",15
sets,2
out,12
acquire,3
comes,8
firmer,1
connexion,18
demonstrated:,1
"this,",3
certain,14
character,13
contradicting,1
fundamental,4
lead,2
erroneous,7
pure,3
science,36
unshakable.,1
3,2
hold,8
"that,",16
owing,1
necessity,10
demonstrable.,4
neither,31
doctrine,3
necessary,41
deduction,1
first,53
"school,",1
maintain,5
infinite,21
regress,8
"involved,",1
behind,1
stands,1
(wherein,1
"right,",1
traverse,1
series):,1
hand,10
series,37
terminates,5
unknowable,1
incapable,7
according,7
conclusions,17
follow,11
nor,58
properly,1
supposition,4
party,1
agree,1
"knowing,",3
holding,2
possible,31
see,7
difficulty,5
"demonstrated,",2
circular,10
reciprocal.,1
demonstrative:,1
"contrary,",3
independent,1
(the,4
obvious;,1
end,11
indemonstrable.),1
"then,",46
"doctrine,",1
addition,4
besides,2
originative,6
source,11
enables,2
definitions.,2
based,4
conclusion;,1
another:,2
"'demonstration',",1
'demonstration',1
extended,2
include,1
method,22
extension,1
prove,35
faulty;,1
seem,3
kinds,10
"perhaps,",3
"however,",17
second,22
"us,",2
term.,10
advocates,1
just,17
stated:,1
theory,5
reduces,1
statement,12
"exists,",8
exist,15
easy,1
proving,11
anything.,4
shown,22
taking,8
three,9
circle,4
makes,6
whether,42
many,15
terms,49
few,1
taken.,1
direct,3
"proof,",4
b,172
be;,3
c,123
therefore,33
be.,3
substituted,1
above.,2
'if,2
be'='if,1
"be',",1
above,3
gave,1
conclusion,81
be':,1
been,34
identified.,1
upholders,1
position,2
simple,5
impossible,15
except,14
case,49
attributes,51
imply,4
"another,",13
'peculiar',8
properties.,3
"now,",5
positing,2
never,13
involves,2
consequent:,1
smallest,1
foundation,4
drawing,3
demonstrative,15
science.,6
"if,",21
implied,4
"c,",40
reciprocally,6
"a,",36
"possible,",8
writings,1
original,6
"rested,",1
figure.,6
figures,6
least,3
none,5
proves,17
propositions,11
convertible,3
circularly,1
occur,4
rarely,1
"demonstrations,",3
frivolous,1
reciprocal,2
demonstrated.,2
4,2
obtained,5
necessary.,3
present,15
inference,20
consider,9
character:,2
"preliminary,",1
let,47
'true,3
"subject',",1
'essential',2
"attribute,",10
'commensurate,1
universal',2
attribute.,5
instance',2
instances,6
"times,",1
time,7
only;,2
animal,28
"man,",8
"man',",2
animal',1
now.,1
corresponding,3
account,8
holds,6
point,14
contained,11
line.,1
evidence,2
objection,2
raise,4
against,9
put,6
"which,",6
occasion,1
essential,114
(1),27
belong,18
elements,20
(e.g.,3
line,13
belongs,12
line;,1
very,4
'substance',1
composed,1
"elements,",2
formulae,1
defining,12
line):,1
(2),25
"subjects,",7
subjects,38
formula.,2
straight,4
curved,1
"line,",2
odd,12
prime,3
"compound,",1
"oblong,",1
number;,3
formula,7
contains,3
extending,1
classification,1
"attributes,",7
distinguish,1
answer,6
description,1
belonging,17
essentially,19
respective,3
subjects;,1
whereas,15
ways,2
accidents,4
'coincidents';,1
musical,4
white,17
'coincident',2
animal.,7
(a),9
predicated,47
itself:,1
'the,15
walking,4
[thing]',1
walks,1
virtue,21
besides;,1
"substance,",3
signifies,3
"somewhat',",3
besides.,1
"things,",3
essential;,3
'coincidental'.,2
again,20
(b),11
consequentially,3
connected,12
example,9
'while,1
lightened':,1
lightning,1
due,5
his,13
walking;,1
"was,",2
"say,",7
coincidence.,1
consequential,1
"connexion,",4
predication,15
beast,1
dies,1
throat,1
"cut,",1
death,2
"cutting,",1
cutting,1
"death,",1
cutting.,1
far,19
concerns,6
sphere,6
connexions,16
scientifically,2
"term,",11
(within,1
sphere),1
"them,",13
subjects.,4
inhere,23
simply,3
qualified,4
opposites,5
subject;,2
straightness,1
"curvature,",1
oddness,1
evenness.,1
within,28
identical,44
genus,48
contrary,11
privative,1
contradictory;,1
inasmuch,3
consequent,4
odd.,2
"so,",12
necessity.,3
established,6
'commensurately,1
such;,2
universals,7
necessarily,26
identical.,3
"essentially,",2
"angles,",14
angles.,3
commensurately,36
universally,9
random,3
belong.,2
equality,7
show,8
selected,3
"haphazard,",1
demonstrating,2
take,18
isosceles,15
prior.,1
primarily,9
question,32
"universally,",4
universally:,1
attaches,3
secondary,1
unessential,2
isosceles;,2
wider,18
application.,1
5,2
fail,6
observe,2
often,4
fall,14
into,15
error,13
so.,2
mistake,2
individual,5
individuals,2
found:,1
different,26
higher,9
"universal,",13
name:,2
(3),13
demonstrator,1
takes,8
whole,25
really,3
larger,2
whole;,1
taken,24
such.,1
exemplified.,1
perpendiculars,1
"parallel,",1
might,26
supposed,1
lines,7
perpendicular,1
parallel,1
parallelism,1
depends,4
"angle,",3
follows:,7
thought,3
qua,29
isosceles.,1
law,7
proportionals,3
alternate.,2
alternation,1
used,8
separately,3
"numbers,",6
"lines,",4
"solids,",1
"durations,",2
proved,31
denote,1
"lengths,",1
solids,1
"identical,",4
differed,1
specifically,6
property,9
separately.,2
"day,",1
manifesting,1
generic,2
postulated,1
possessing,10
"hence,",5
proofs;,2
"still,",1
long,3
treats,1
"equilateral,",2
"scalene,",1
"isosceles,",2
"sophistically,",1
these.,5
"property,",5
'all',3
triangles,4
'each,1
singly':,1
'as,1
"class',",1
'all,1
triangles'.,1
"universality,",1
knowledge?,4
essence,10
"equilaterals,",1
